epoch,accuracy,loss,val_accuracy,val_loss
1,0.2509,1.8313,0.2802,1.7856
2,0.2778,1.7611,0.3732,1.6493
3,0.3241,1.695,0.3965,1.5656
4,0.3591,1.6318,0.4302,1.5007
5,0.3807,1.5781,0.4567,1.431
6,0.4182,1.5115,0.4731,1.3917
7,0.4354,1.4757,0.4854,1.3577
8,0.4472,1.4332,0.5011,1.3158
9,0.4706,1.393,0.5111,1.2878
10,0.4742,1.377,0.5255,1.255
11,0.4825,1.3552,0.5343,1.2313
12,0.4949,1.3262,0.5334,1.2374
13,0.5075,1.2898,0.5424,1.2086
14,0.5135,1.2879,0.5478,1.1924
15,0.5192,1.264,0.5485,1.1874
16,0.5197,1.2578,0.5545,1.1667
17,0.531,1.2346,0.5496,1.1804
18,0.543,1.2172,0.5671,1.1375
19,0.5442,1.2102,0.567,1.1402
20,0.5495,1.1909,0.5773,1.1149
21,0.5523,1.1836,0.5776,1.1147
22,0.5535,1.1818,0.5854,1.1048
23,0.5634,1.1567,0.5797,1.1194
24,0.5635,1.1527,0.5861,1.1002
25,0.5615,1.1545,0.5886,1.0858
26,0.5739,1.14,0.5886,1.078
27,0.5776,1.1359,0.5961,1.0676
28,0.5754,1.1206,0.5947,1.0744
29,0.5749,1.1229,0.5991,1.0666
30,0.5824,1.1231,0.5943,1.0678
31,0.5872,1.096,0.6025,1.0566
32,0.5881,1.1021,0.5977,1.0682
33,0.5903,1.0878,0.6084,1.0422
34,0.5924,1.0828,0.6101,1.0365
35,0.5948,1.0782,0.6099,1.0365
36,0.5954,1.0782,0.6148,1.0277
37,0.5986,1.0667,0.6109,1.0291
38,0.6048,1.0585,0.6089,1.0386
39,0.6048,1.0533,0.6198,1.0195
40,0.6128,1.0374,0.618,1.0278
41,0.6112,1.0401,0.617,1.0188
42,0.6154,1.0284,0.6176,1.0159
43,0.6173,1.0327,0.6245,1.0037
44,0.6161,1.0225,0.6298,1.0013
45,0.6192,1.0131,0.6332,1.0006
46,0.6202,1.0167,0.6291,0.9964
47,0.6221,1.0118,0.625,1.0096
48,0.6186,1.0074,0.6303,0.9898
49,0.6294,0.9864,0.6314,0.9888
50,0.6309,0.9907,0.6379,0.9877
